--- Project directories are set up. ---
--- Starting HFS-GAN Training (v22.1 Multivariate) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [93/10000] | C Loss: -10.1392 | G Loss: 400.2325 | Style Loss: 1.6077 | Corr Loss: 0.4570 | Time: 6.55s
Epoch [94/10000] | C Loss: -10.3839 | G Loss: 387.3568 | Style Loss: 1.7023 | Corr Loss: 0.4127 | Time: 6.55s
Epoch [95/10000] | C Loss: -10.4707 | G Loss: 385.1623 | Style Loss: 1.5309 | Corr Loss: 0.4430 | Time: 6.56s
Epoch [96/10000] | C Loss: -10.5825 | G Loss: 379.4385 | Style Loss: 1.6968 | Corr Loss: 0.3972 | Time: 6.58s
Epoch [97/10000] | C Loss: -10.7105 | G Loss: 405.1573 | Style Loss: 1.6774 | Corr Loss: 0.4526 | Time: 6.60s
Epoch [98/10000] | C Loss: -11.0207 | G Loss: 399.2565 | Style Loss: 1.6069 | Corr Loss: 0.4537 | Time: 6.61s
Epoch [99/10000] | C Loss: -10.6629 | G Loss: 391.3801 | Style Loss: 1.4862 | Corr Loss: 0.4622 | Time: 6.61s
Epoch [100/10000] | C Loss: -10.7896 | G Loss: 412.0190 | Style Loss: 1.7213 | Corr Loss: 0.4569 | Time: 6.56s
Epoch [101/10000] | C Loss: -11.0285 | G Loss: 395.1372 | Style Loss: 1.6701 | Corr Loss: 0.4344 | Time: 6.56s
Epoch [102/10000] | C Loss: -11.1284 | G Loss: 395.8207 | Style Loss: 1.5982 | Corr Loss: 0.4501 | Time: 6.58s
Epoch [103/10000] | C Loss: -11.0614 | G Loss: 347.3910 | Style Loss: 1.4137 | Corr Loss: 0.3895 | Time: 6.55s
Epoch [104/10000] | C Loss: -11.0489 | G Loss: 383.9905 | Style Loss: 1.4959 | Corr Loss: 0.4448 | Time: 6.57s
Epoch [105/10000] | C Loss: -11.0179 | G Loss: 411.1826 | Style Loss: 1.6492 | Corr Loss: 0.4688 | Time: 6.56s
Epoch [106/10000] | C Loss: -11.3128 | G Loss: 424.8531 | Style Loss: 1.5455 | Corr Loss: 0.5170 | Time: 6.57s
Epoch [107/10000] | C Loss: -11.4455 | G Loss: 407.9742 | Style Loss: 1.6774 | Corr Loss: 0.4560 | Time: 6.56s
Epoch [108/10000] | C Loss: -11.3017 | G Loss: 383.1386 | Style Loss: 1.5570 | Corr Loss: 0.4309 | Time: 6.56s
Epoch [109/10000] | C Loss: -11.2685 | G Loss: 398.6692 | Style Loss: 1.5776 | Corr Loss: 0.4568 | Time: 6.55s
Epoch [110/10000] | C Loss: -11.2660 | G Loss: 369.8390 | Style Loss: 1.5307 | Corr Loss: 0.4086 | Time: 6.56s
Epoch [111/10000] | C Loss: -11.5301 | G Loss: 374.2828 | Style Loss: 1.4876 | Corr Loss: 0.4271 | Time: 6.56s
Epoch [112/10000] | C Loss: -11.4321 | G Loss: 381.5118 | Style Loss: 1.4694 | Corr Loss: 0.4446 | Time: 6.56s
Epoch [113/10000] | C Loss: -11.4965 | G Loss: 426.7722 | Style Loss: 1.7277 | Corr Loss: 0.4819 | Time: 6.57s
Epoch [114/10000] | C Loss: -11.6760 | G Loss: 399.6197 | Style Loss: 1.5942 | Corr Loss: 0.4563 | Time: 6.54s
Epoch [115/10000] | C Loss: -11.5053 | G Loss: 384.2411 | Style Loss: 1.4138 | Corr Loss: 0.4606 | Time: 6.56s
Epoch [116/10000] | C Loss: -11.6919 | G Loss: 375.1542 | Style Loss: 1.5325 | Corr Loss: 0.4178 | Time: 6.58s
Epoch [117/10000] | C Loss: -11.7162 | G Loss: 389.2088 | Style Loss: 1.5359 | Corr Loss: 0.4457 | Time: 6.56s
Epoch [118/10000] | C Loss: -11.6698 | G Loss: 414.6658 | Style Loss: 1.7694 | Corr Loss: 0.4497 | Time: 6.57s
Epoch [119/10000] | C Loss: -11.6590 | G Loss: 409.3134 | Style Loss: 1.5159 | Corr Loss: 0.4897 | Time: 6.55s
Epoch [120/10000] | C Loss: -11.7622 | G Loss: 368.5054 | Style Loss: 1.5008 | Corr Loss: 0.4109 | Time: 6.55s
Epoch [121/10000] | C Loss: -11.7996 | G Loss: 375.7567 | Style Loss: 1.4372 | Corr Loss: 0.4376 | Time: 6.57s
Epoch [122/10000] | C Loss: -11.9099 | G Loss: 403.1985 | Style Loss: 1.6116 | Corr Loss: 0.4587 | Time: 6.55s
Epoch [123/10000] | C Loss: -11.7937 | G Loss: 377.7934 | Style Loss: 1.5089 | Corr Loss: 0.4278 | Time: 6.56s
Epoch [124/10000] | C Loss: -11.7213 | G Loss: 409.3131 | Style Loss: 1.5797 | Corr Loss: 0.4762 | Time: 6.57s
Epoch [125/10000] | C Loss: -11.7136 | G Loss: 398.6548 | Style Loss: 1.5268 | Corr Loss: 0.4659 | Time: 6.56s
Epoch [126/10000] | C Loss: -11.7506 | G Loss: 379.5392 | Style Loss: 1.3816 | Corr Loss: 0.4563 | Time: 6.58s
Epoch [127/10000] | C Loss: -11.7021 | G Loss: 384.0010 | Style Loss: 1.4128 | Corr Loss: 0.4607 | Time: 6.55s
Epoch [128/10000] | C Loss: -11.7706 | G Loss: 385.1056 | Style Loss: 1.6284 | Corr Loss: 0.4167 | Time: 6.58s
Epoch [129/10000] | C Loss: -11.7233 | G Loss: 390.2228 | Style Loss: 1.5710 | Corr Loss: 0.4397 | Time: 6.55s
Epoch [130/10000] | C Loss: -11.7824 | G Loss: 420.7773 | Style Loss: 1.6778 | Corr Loss: 0.4791 | Time: 6.57s
Epoch [131/10000] | C Loss: -11.6919 | G Loss: 390.8926 | Style Loss: 1.5371 | Corr Loss: 0.4477 | Time: 6.59s
Epoch [132/10000] | C Loss: -11.8249 | G Loss: 385.6117 | Style Loss: 1.5275 | Corr Loss: 0.4388 | Time: 6.58s
Epoch [133/10000] | C Loss: -11.8251 | G Loss: 397.8012 | Style Loss: 1.4845 | Corr Loss: 0.4730 | Time: 6.57s
Epoch [134/10000] | C Loss: -11.9618 | G Loss: 368.7145 | Style Loss: 1.3797 | Corr Loss: 0.4342 | Time: 6.56s
Epoch [135/10000] | C Loss: -11.7799 | G Loss: 405.0995 | Style Loss: 1.7592 | Corr Loss: 0.4323 | Time: 6.58s
Epoch [136/10000] | C Loss: -11.9705 | G Loss: 408.0525 | Style Loss: 1.6776 | Corr Loss: 0.4539 | Time: 6.59s
Epoch [137/10000] | C Loss: -11.7207 | G Loss: 398.1741 | Style Loss: 1.6672 | Corr Loss: 0.4365 | Time: 6.55s
Epoch [138/10000] | C Loss: -11.7275 | G Loss: 383.3213 | Style Loss: 1.6712 | Corr Loss: 0.4053 | Time: 6.56s
Epoch [139/10000] | C Loss: -11.7906 | G Loss: 390.4706 | Style Loss: 1.6268 | Corr Loss: 0.4295 | Time: 6.58s
Epoch [140/10000] | C Loss: -11.9027 | G Loss: 392.3283 | Style Loss: 1.4064 | Corr Loss: 0.4764 | Time: 6.57s
Epoch [141/10000] | C Loss: -11.7504 | G Loss: 382.9604 | Style Loss: 1.3803 | Corr Loss: 0.4627 | Time: 6.58s
Epoch [142/10000] | C Loss: -11.5664 | G Loss: 375.8510 | Style Loss: 1.4119 | Corr Loss: 0.4420 | Time: 6.56s
Epoch [143/10000] | C Loss: -11.7733 | G Loss: 405.4014 | Style Loss: 1.5958 | Corr Loss: 0.4636 | Time: 6.57s
Epoch [144/10000] | C Loss: -11.7759 | G Loss: 408.4935 | Style Loss: 1.6963 | Corr Loss: 0.4504 | Time: 6.58s
Epoch [145/10000] | C Loss: -11.8726 | G Loss: 373.2490 | Style Loss: 1.5027 | Corr Loss: 0.4189 | Time: 6.57s
Epoch [146/10000] | C Loss: -11.8724 | G Loss: 413.7441 | Style Loss: 1.6832 | Corr Loss: 0.4636 | Time: 6.60s
Epoch [147/10000] | C Loss: -11.7447 | G Loss: 403.2424 | Style Loss: 1.5425 | Corr Loss: 0.4712 | Time: 6.57s
Epoch [148/10000] | C Loss: -11.7065 | G Loss: 371.1137 | Style Loss: 1.5464 | Corr Loss: 0.4061 | Time: 6.55s
Epoch [149/10000] | C Loss: -11.5902 | G Loss: 392.6723 | Style Loss: 1.6011 | Corr Loss: 0.4403 | Time: 6.57s
Epoch [150/10000] | C Loss: -11.8062 | G Loss: 388.9062 | Style Loss: 1.5011 | Corr Loss: 0.4511 | Time: 6.57s
Epoch [151/10000] | C Loss: -11.4443 | G Loss: 410.5847 | Style Loss: 1.7159 | Corr Loss: 0.4496 | Time: 6.57s
Epoch [152/10000] | C Loss: -11.7908 | G Loss: 402.1881 | Style Loss: 1.3610 | Corr Loss: 0.5051 | Time: 6.57s
Epoch [153/10000] | C Loss: -11.7612 | G Loss: 404.0729 | Style Loss: 1.7209 | Corr Loss: 0.4370 | Time: 6.54s
Epoch [154/10000] | C Loss: -11.8559 | G Loss: 392.3356 | Style Loss: 1.5874 | Corr Loss: 0.4398 | Time: 6.55s
Epoch [155/10000] | C Loss: -11.8818 | G Loss: 400.5517 | Style Loss: 1.5990 | Corr Loss: 0.4544 | Time: 6.57s
Epoch [156/10000] | C Loss: -11.7557 | G Loss: 389.2542 | Style Loss: 1.6167 | Corr Loss: 0.4285 | Time: 6.58s
Epoch [157/10000] | C Loss: -11.8277 | G Loss: 375.0701 | Style Loss: 1.5212 | Corr Loss: 0.4183 | Time: 6.56s
Epoch [158/10000] | C Loss: -11.6134 | G Loss: 390.4407 | Style Loss: 1.6236 | Corr Loss: 0.4292 | Time: 6.57s
Epoch [159/10000] | C Loss: -11.7063 | G Loss: 343.8369 | Style Loss: 1.3344 | Corr Loss: 0.3934 | Time: 6.55s
Epoch [160/10000] | C Loss: -11.7890 | G Loss: 406.9899 | Style Loss: 1.5965 | Corr Loss: 0.4685 | Time: 6.57s
Epoch [161/10000] | C Loss: -11.7509 | G Loss: 390.0364 | Style Loss: 1.5511 | Corr Loss: 0.4428 | Time: 6.56s
Epoch [162/10000] | C Loss: -11.7640 | G Loss: 377.7878 | Style Loss: 1.5655 | Corr Loss: 0.4156 | Time: 6.56s
Epoch [163/10000] | C Loss: -11.7868 | G Loss: 358.2472 | Style Loss: 1.4111 | Corr Loss: 0.4068 | Time: 6.56s
Epoch [164/10000] | C Loss: -11.5668 | G Loss: 401.4322 | Style Loss: 1.6113 | Corr Loss: 0.4534 | Time: 6.56s
Epoch [165/10000] | C Loss: -11.7321 | G Loss: 366.1444 | Style Loss: 1.3218 | Corr Loss: 0.4408 | Time: 6.57s
Epoch [166/10000] | C Loss: -11.6151 | G Loss: 412.9480 | Style Loss: 1.6165 | Corr Loss: 0.4764 | Time: 6.57s
Epoch [167/10000] | C Loss: -11.8594 | G Loss: 402.4440 | Style Loss: 1.6793 | Corr Loss: 0.4425 | Time: 6.57s
Epoch [168/10000] | C Loss: -11.7371 | G Loss: 399.6271 | Style Loss: 1.6225 | Corr Loss: 0.4492 | Time: 6.56s
Epoch [169/10000] | C Loss: -11.6433 | G Loss: 384.5161 | Style Loss: 1.4877 | Corr Loss: 0.4438 | Time: 6.58s
Epoch [170/10000] | C Loss: -11.6440 | G Loss: 400.8412 | Style Loss: 1.6686 | Corr Loss: 0.4418 | Time: 6.56s
Epoch [171/10000] | C Loss: -11.7337 | G Loss: 395.4247 | Style Loss: 1.4996 | Corr Loss: 0.4634 | Time: 6.57s
Epoch [172/10000] | C Loss: -11.6827 | G Loss: 387.0304 | Style Loss: 1.6585 | Corr Loss: 0.4142 | Time: 6.57s
Epoch [173/10000] | C Loss: -11.7059 | G Loss: 389.8199 | Style Loss: 1.4881 | Corr Loss: 0.4555 | Time: 6.57s
Epoch [174/10000] | C Loss: -11.7022 | G Loss: 403.3037 | Style Loss: 1.7507 | Corr Loss: 0.4305 | Time: 6.56s
Epoch [175/10000] | C Loss: -11.7273 | G Loss: 424.5111 | Style Loss: 1.6217 | Corr Loss: 0.4980 | Time: 6.58s
Epoch [176/10000] | C Loss: -11.6460 | G Loss: 361.8414 | Style Loss: 1.4768 | Corr Loss: 0.4022 | Time: 6.58s
Epoch [177/10000] | C Loss: -11.6737 | G Loss: 366.8657 | Style Loss: 1.3621 | Corr Loss: 0.4344 | Time: 6.56s
