--- Project directories are set up. ---
--- Starting HFS-GAN Training (v24 Final Solution) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [81/10000] | C Loss: -1.7460 | G Loss: 354.8250 | Vol Loss: 0.0238 | Corr Loss: 0.4889 | Time: 6.55s
Epoch [82/10000] | C Loss: -1.5694 | G Loss: 308.9279 | Vol Loss: 0.0229 | Corr Loss: 0.4072 | Time: 6.55s
Epoch [83/10000] | C Loss: -1.5768 | G Loss: 336.3660 | Vol Loss: 0.0235 | Corr Loss: 0.4797 | Time: 6.56s
Epoch [84/10000] | C Loss: -1.7905 | G Loss: 343.4247 | Vol Loss: 0.0234 | Corr Loss: 0.4880 | Time: 6.56s
Epoch [85/10000] | C Loss: -1.7843 | G Loss: 316.4358 | Vol Loss: 0.0228 | Corr Loss: 0.4324 | Time: 6.57s
Epoch [86/10000] | C Loss: -1.6223 | G Loss: 322.7733 | Vol Loss: 0.0215 | Corr Loss: 0.4609 | Time: 6.55s
Epoch [87/10000] | C Loss: -1.6870 | G Loss: 325.6808 | Vol Loss: 0.0227 | Corr Loss: 0.4352 | Time: 6.56s
Epoch [88/10000] | C Loss: -1.7605 | G Loss: 330.1108 | Vol Loss: 0.0220 | Corr Loss: 0.4490 | Time: 6.55s
Epoch [89/10000] | C Loss: -1.6558 | G Loss: 320.4727 | Vol Loss: 0.0227 | Corr Loss: 0.4402 | Time: 6.56s
Epoch [90/10000] | C Loss: -1.6263 | G Loss: 323.4041 | Vol Loss: 0.0224 | Corr Loss: 0.4574 | Time: 6.56s
Epoch [91/10000] | C Loss: -1.6505 | G Loss: 315.4277 | Vol Loss: 0.0219 | Corr Loss: 0.4326 | Time: 6.52s
Epoch [92/10000] | C Loss: -1.6673 | G Loss: 334.5197 | Vol Loss: 0.0224 | Corr Loss: 0.4632 | Time: 6.52s
Epoch [93/10000] | C Loss: -1.6279 | G Loss: 308.3510 | Vol Loss: 0.0223 | Corr Loss: 0.4295 | Time: 6.54s
Epoch [94/10000] | C Loss: -1.7093 | G Loss: 319.8883 | Vol Loss: 0.0227 | Corr Loss: 0.4354 | Time: 6.57s
Epoch [95/10000] | C Loss: -1.5192 | G Loss: 308.3615 | Vol Loss: 0.0219 | Corr Loss: 0.3987 | Time: 6.58s
Epoch [96/10000] | C Loss: -1.5166 | G Loss: 338.1130 | Vol Loss: 0.0219 | Corr Loss: 0.4826 | Time: 6.54s
Epoch [97/10000] | C Loss: -1.5927 | G Loss: 318.0503 | Vol Loss: 0.0211 | Corr Loss: 0.4460 | Time: 6.53s
Epoch [98/10000] | C Loss: -1.7247 | G Loss: 307.6748 | Vol Loss: 0.0218 | Corr Loss: 0.4215 | Time: 6.56s
Epoch [99/10000] | C Loss: -1.5094 | G Loss: 313.5138 | Vol Loss: 0.0221 | Corr Loss: 0.4323 | Time: 6.54s
Epoch [100/10000] | C Loss: -1.3373 | G Loss: 329.3429 | Vol Loss: 0.0225 | Corr Loss: 0.4843 | Time: 6.54s
Epoch [101/10000] | C Loss: -1.4518 | G Loss: 317.5930 | Vol Loss: 0.0216 | Corr Loss: 0.4316 | Time: 6.57s
Epoch [102/10000] | C Loss: -1.5245 | G Loss: 338.1417 | Vol Loss: 0.0208 | Corr Loss: 0.4666 | Time: 6.54s
Epoch [103/10000] | C Loss: -1.4207 | G Loss: 305.0948 | Vol Loss: 0.0211 | Corr Loss: 0.4064 | Time: 6.61s
Epoch [104/10000] | C Loss: -1.5287 | G Loss: 332.7552 | Vol Loss: 0.0218 | Corr Loss: 0.4507 | Time: 6.58s
Epoch [105/10000] | C Loss: -1.5325 | G Loss: 313.0779 | Vol Loss: 0.0224 | Corr Loss: 0.4387 | Time: 6.56s
Epoch [106/10000] | C Loss: -1.4868 | G Loss: 319.9635 | Vol Loss: 0.0214 | Corr Loss: 0.4431 | Time: 6.55s
Epoch [107/10000] | C Loss: -1.3622 | G Loss: 340.4509 | Vol Loss: 0.0220 | Corr Loss: 0.4704 | Time: 6.56s
Epoch [108/10000] | C Loss: -1.5911 | G Loss: 356.1570 | Vol Loss: 0.0212 | Corr Loss: 0.5051 | Time: 6.56s
Epoch [109/10000] | C Loss: -1.4757 | G Loss: 302.8195 | Vol Loss: 0.0209 | Corr Loss: 0.4179 | Time: 6.55s
Epoch [110/10000] | C Loss: -1.4280 | G Loss: 331.1236 | Vol Loss: 0.0214 | Corr Loss: 0.4598 | Time: 6.57s
Epoch [111/10000] | C Loss: -1.3606 | G Loss: 333.3283 | Vol Loss: 0.0214 | Corr Loss: 0.4514 | Time: 6.55s
Epoch [112/10000] | C Loss: -1.4448 | G Loss: 329.7017 | Vol Loss: 0.0220 | Corr Loss: 0.4542 | Time: 6.57s
Epoch [113/10000] | C Loss: -1.4403 | G Loss: 342.5809 | Vol Loss: 0.0214 | Corr Loss: 0.4725 | Time: 6.54s
Epoch [114/10000] | C Loss: -1.4469 | G Loss: 358.9514 | Vol Loss: 0.0207 | Corr Loss: 0.5235 | Time: 6.56s
Epoch [115/10000] | C Loss: -1.3485 | G Loss: 310.9621 | Vol Loss: 0.0209 | Corr Loss: 0.4427 | Time: 6.55s
Epoch [116/10000] | C Loss: -1.3702 | G Loss: 344.4936 | Vol Loss: 0.0213 | Corr Loss: 0.4797 | Time: 6.56s
Epoch [117/10000] | C Loss: -1.3738 | G Loss: 302.7660 | Vol Loss: 0.0206 | Corr Loss: 0.4074 | Time: 6.55s
Epoch [118/10000] | C Loss: -1.2480 | G Loss: 331.6258 | Vol Loss: 0.0207 | Corr Loss: 0.4652 | Time: 6.55s
Epoch [119/10000] | C Loss: -1.3917 | G Loss: 316.7760 | Vol Loss: 0.0204 | Corr Loss: 0.4476 | Time: 6.55s
Epoch [120/10000] | C Loss: -1.3736 | G Loss: 326.4678 | Vol Loss: 0.0207 | Corr Loss: 0.4475 | Time: 6.55s
Epoch [121/10000] | C Loss: -1.3496 | G Loss: 321.1680 | Vol Loss: 0.0212 | Corr Loss: 0.4648 | Time: 6.57s
