--- Project directories are set up. ---
--- Starting HFS-GAN Training (v22.1 Multivariate) ---
Using device: cuda
Downloading data for multiple assets: ['^GSPC', '^IXIC', 'GC=F']...
Aligned data from 2000-08-30 to 2023-12-29
Data ready! 5787 valid multivariate paths extracted.
Epoch [76/5000] | C Loss: -12.1906 | G Loss: 865.3781 | Style Loss: 1.5498 | Corr Loss: 0.3922 | Time: 6.65s
Epoch [77/5000] | C Loss: -12.2592 | G Loss: 885.9657 | Style Loss: 1.5110 | Corr Loss: 0.4516 | Time: 6.62s
Epoch [78/5000] | C Loss: -12.3221 | G Loss: 885.9895 | Style Loss: 1.4911 | Corr Loss: 0.4653 | Time: 6.66s
Epoch [79/5000] | C Loss: -12.1118 | G Loss: 783.9863 | Style Loss: 1.3047 | Corr Loss: 0.4188 | Time: 6.63s
Epoch [80/5000] | C Loss: -12.3520 | G Loss: 892.6709 | Style Loss: 1.5385 | Corr Loss: 0.4446 | Time: 6.61s
Epoch [81/5000] | C Loss: -12.3803 | G Loss: 805.9109 | Style Loss: 1.3447 | Corr Loss: 0.4290 | Time: 6.65s
Epoch [82/5000] | C Loss: -12.3416 | G Loss: 866.0331 | Style Loss: 1.4804 | Corr Loss: 0.4388 | Time: 6.63s
Epoch [83/5000] | C Loss: -12.4195 | G Loss: 870.6916 | Style Loss: 1.4290 | Corr Loss: 0.4798 | Time: 6.66s
Epoch [84/5000] | C Loss: -12.2258 | G Loss: 824.4617 | Style Loss: 1.4067 | Corr Loss: 0.4181 | Time: 6.66s
Epoch [85/5000] | C Loss: -12.1596 | G Loss: 816.2385 | Style Loss: 1.3692 | Corr Loss: 0.4289 | Time: 6.67s
Epoch [86/5000] | C Loss: -12.2145 | G Loss: 865.1299 | Style Loss: 1.5077 | Corr Loss: 0.4193 | Time: 6.68s
Epoch [87/5000] | C Loss: -12.1654 | G Loss: 847.9753 | Style Loss: 1.4219 | Corr Loss: 0.4473 | Time: 6.67s
Epoch [88/5000] | C Loss: -12.3040 | G Loss: 925.6224 | Style Loss: 1.6145 | Corr Loss: 0.4476 | Time: 6.67s
Epoch [89/5000] | C Loss: -12.3669 | G Loss: 944.2389 | Style Loss: 1.6655 | Corr Loss: 0.4449 | Time: 6.68s
Epoch [90/5000] | C Loss: -12.3180 | G Loss: 858.7386 | Style Loss: 1.4376 | Corr Loss: 0.4550 | Time: 6.68s
Epoch [91/5000] | C Loss: -12.0836 | G Loss: 823.9149 | Style Loss: 1.3391 | Corr Loss: 0.4614 | Time: 6.68s
Epoch [92/5000] | C Loss: -11.9602 | G Loss: 864.9218 | Style Loss: 1.5177 | Corr Loss: 0.4117 | Time: 6.67s
Epoch [93/5000] | C Loss: -12.2776 | G Loss: 781.1454 | Style Loss: 1.3080 | Corr Loss: 0.4119 | Time: 6.68s
Epoch [94/5000] | C Loss: -12.1567 | G Loss: 982.6089 | Style Loss: 1.7028 | Corr Loss: 0.4845 | Time: 6.67s
Epoch [95/5000] | C Loss: -12.1868 | G Loss: 897.9352 | Style Loss: 1.5224 | Corr Loss: 0.4634 | Time: 6.67s
Epoch [96/5000] | C Loss: -12.1073 | G Loss: 796.0567 | Style Loss: 1.3029 | Corr Loss: 0.4407 | Time: 6.68s
Epoch [97/5000] | C Loss: -12.2481 | G Loss: 768.2773 | Style Loss: 1.2697 | Corr Loss: 0.4159 | Time: 6.67s
Epoch [98/5000] | C Loss: -12.0152 | G Loss: 972.1299 | Style Loss: 1.6973 | Corr Loss: 0.4709 | Time: 6.68s
Epoch [99/5000] | C Loss: -12.2899 | G Loss: 867.9623 | Style Loss: 1.5348 | Corr Loss: 0.4048 | Time: 6.68s
Epoch [100/5000] | C Loss: -12.0510 | G Loss: 844.9686 | Style Loss: 1.4260 | Corr Loss: 0.4395 | Time: 6.66s
Epoch [101/5000] | C Loss: -12.4065 | G Loss: 823.6414 | Style Loss: 1.3820 | Corr Loss: 0.4326 | Time: 6.62s
Epoch [102/5000] | C Loss: -12.2557 | G Loss: 950.9771 | Style Loss: 1.6310 | Corr Loss: 0.4801 | Time: 6.63s
Epoch [103/5000] | C Loss: -12.0110 | G Loss: 854.3868 | Style Loss: 1.4485 | Corr Loss: 0.4401 | Time: 6.63s
Epoch [104/5000] | C Loss: -12.1447 | G Loss: 884.6892 | Style Loss: 1.5271 | Corr Loss: 0.4385 | Time: 6.65s
